id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
49766,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,520a7330-5e6e-4f96-8a59-19c6cf9e25d2,C0640984F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,Veracruz,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:43:21",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:e9d5301b-6b84-4a3d-b510-14b4a3231d33,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=49766
50132,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,c8e2335b-1f8b-4b38-9c44-200ed52f19fa,C0640992F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Costa Rica",Alajuela,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:43:23",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:a6cd83ac-1cf8-4814-a584-0db577a6d855,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=50132
50516,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,440ec16d-c8f5-466c-9661-44fdc9d6eae7,C0661782F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,"J. V. Rodríguez",3367,1945-09-11,1945,9,11,254,,1945-9-11,,,,,,,,,,,,,,HONDURAS,,,,,,,,,,,,,,,,,,,,,,,en,,"2018-06-19 12:19:44",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:29d0075e-8cd5-436a-8be3-160b53fe63f6,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=50516
51563,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,433a9572-af64-489c-b983-f81da54592ab,C0661879F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,"P. A. Opler",286,1971-06-29,1971,6,29,180,,1971-6-29,,,,,,,,,,,,,,"COSTA RICA",,,,,,,,,,,,,,,,,,,,,,,en,,"2018-06-19 12:21:03",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:5131966d-cc6f-4572-b169-539fc25d8c46,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=51563
55781,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,e46141b4-c675-4d8b-a8d0-eaac3657438b,C0661775F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,"J. A. Steyermark",47666,1942-06-17,1942,6,17,168,,1942-6-17,,,,,,,,,,,,,,GUATEMALA,,,,,,,,,,,,,,,,,,,,,,,en,,"2018-06-19 12:19:36",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:20445213-8a4e-463b-8558-c257242f6fcb,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=55781
66409,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,86473f5c-c6e1-4d5d-ad1a-01f41c431a4a,C0661777F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,"R. L. Seiler",526,1978-09-01,1978,9,1,244,,1978-9-1,,,,,,,,,,,,,,"EL SALVADOR",,,,,,,,,,,,,,,,,,,,,,,en,,"2018-06-19 12:19:38",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:c98c9dd0-5e6d-4de6-a2a3-b77815b6d2e3,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=66409
66415,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,13e71b2c-dc03-461f-8319-18e4c35dfa89,C0661783F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,"A. Molina R.",3710,1950-12-12,1950,12,12,346,,1950-12-12,,,,,,,,,,,,,,HONDURAS,,,,,,,,,,,,,,,,,,,,,,,en,,"2018-06-19 12:19:45",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:05ccd98f-c0c0-4a12-ab38-f0a855e869d0,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=66415
66468,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,9e14d4a7-82b1-4574-985d-644dfe7dfb6e,C0661875F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,"F. C. Seymour",6180,1972-07-29,1972,7,29,211,,1972-7-29,,,,,,,,,,,,,,NICARAGUA,,,,,,,,,,,,,,,,,,,,,,,en,,"2018-06-19 12:20:59",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:230ab7cb-66bb-4e62-83b5-8a50a15db479,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=66468
67610,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,879f54dd-683d-4997-8539-d9ae85f580fd,C0661784F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,"J. V. Rodríguez",3367,1945-09-11,1945,9,11,254,,1945-9-11,,,,,,,,,,,,,,HONDURAS,,,,,,,,,,,,,,,,,,,,,,,en,,"2018-06-19 12:19:46",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:073a6688-5bb5-42b2-a843-2a1ea3beb323,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=67610
67615,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,c50fcd26-1ee8-44b3-9913-e0d3c0fc2a31,C0661776F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,"P. C. Standley",78744,1940-11-30,1940,11,30,335,,1940-11-30,,,,,,,,,,,,,,GUATEMALA,,,,,,,,,,,,,,,,,,,,,,,en,,"2018-06-19 12:19:37",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:6f57949e-9639-44ed-993b-6295d3216203,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=67615
67651,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,3373921d-05ad-4dcf-8d09-a59606b1af5d,C0661873F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,"F. C. Seymour",1226,1968-12-27,1968,12,27,362,,1968-12-27,,,,,,,,,,,,,,NICARAGUA,,,,,,,,,,,,,,,,,,,,,,,en,,"2018-06-19 12:20:57",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:00a626a0-66da-424a-8610-58b220719f08,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=67651
67652,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,795fd7f4-2f23-4156-b498-c050aee89fcb,C0661876F,,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,"Selaginella sertata",4856,Spring,Selaginella,sertata,,,,,,,,,,"P. C. Standley",11113,1947-07-12,1947,7,12,193,,1947-7-12,,,,,,,,,,,,,,NICARAGUA,,,,,,,,,,,,,,,,,,,,,,,en,,"2018-06-19 00:00:00",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:634dc07b-80aa-4447-8089-9cb1cc66dd31,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=67652
