coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
24073,http://fm-digital-assets.fieldmuseum.org/1083/311/C0641126F.jpg,http://fm-digital-assets.fieldmuseum.org/1083/311/C0641126F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0641126F_1537825792_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0641126F_1537825792_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:9b331c04-4247-4262-a098-1964d59cce3d,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=24073,StillImage,Photograph,en
27622,http://fm-digital-assets.fieldmuseum.org/1081/933/C0639552F.jpg,http://fm-digital-assets.fieldmuseum.org/1081/933/C0639552F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639552F_1537893977_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639552F_1537893977_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:ec29f2a2-4838-43ec-a9bd-c6bc88faa4ae,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=27622,StillImage,Photograph,en
33141,http://fm-digital-assets.fieldmuseum.org/1060/880/C0656873F.jpg,http://fm-digital-assets.fieldmuseum.org/1060/880/C0656873F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0656873F_1537800873_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0656873F_1537800873_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:a7270cb1-092f-4c86-8f13-cdf2cf67c984,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=33141,StillImage,Photograph,en
38244,http://fm-digital-assets.fieldmuseum.org/1060/877/C0656870F.jpg,http://fm-digital-assets.fieldmuseum.org/1060/877/C0656870F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0656870F_1537867537_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0656870F_1537867537_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:eebc2a34-194d-4986-a7e4-0dec045e2a12,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=38244,StillImage,Photograph,en
48600,http://fm-digital-assets.fieldmuseum.org/1083/304/C0641118F.jpg,http://fm-digital-assets.fieldmuseum.org/1083/304/C0641118F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0641118F_1537947672_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0641118F_1537947672_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:1b65eb1d-6a52-4eab-8a35-06e5f553505c,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=48600,StillImage,Photograph,en
48742,http://fm-digital-assets.fieldmuseum.org/1060/879/C0656872F.jpg,http://fm-digital-assets.fieldmuseum.org/1060/879/C0656872F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0656872F_1537837920_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0656872F_1537837920_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:55a66d28-0886-4efa-8b99-f2172703037c,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=48742,StillImage,Photograph,en
63043,http://fm-digital-assets.fieldmuseum.org/1060/126/C0640251F.jpg,http://fm-digital-assets.fieldmuseum.org/1060/126/C0640251F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0640251F_1537803273_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0640251F_1537803273_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:3fee8fd9-8a25-4659-897b-7ccf5ec4f9ef,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=63043,StillImage,Photograph,en
64223,http://fm-digital-assets.fieldmuseum.org/1060/127/C0640252F.jpg,http://fm-digital-assets.fieldmuseum.org/1060/127/C0640252F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0640252F_1537871059_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0640252F_1537871059_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:0663cc5a-5059-49b2-86bd-7827abe44b4a,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=64223,StillImage,Photograph,en
28950,http://fm-digital-assets.fieldmuseum.org/218/460/V0075566F.jpg,http://fm-digital-assets.fieldmuseum.org/218/460/V0075566F.jpg,http://www.pteridoportal.org/imglib/fern/F/V0075/V0075566F_1537519229_tn.jpg,http://www.pteridoportal.org/imglib/fern/F/V0075/V0075566F_1537519229_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:d140aec8-2b29-4762-9f27-29cd32e8494c,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=28950,StillImage,Photograph,en
1456,http://fm-digital-assets.fieldmuseum.org/1081/788/C0639407F.jpg,http://fm-digital-assets.fieldmuseum.org/1081/788/C0639407F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639407F_1537722385_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0639407F_1537722385_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:56c216e5-059d-425b-80d5-c34925f9ed13,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=1456,StillImage,Photograph,en
