coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
34006,http://fm-digital-assets.fieldmuseum.org/1063/758/C0663918F.jpg,http://fm-digital-assets.fieldmuseum.org/1063/758/C0663918F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0663918F_1537747838_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0663918F_1537747838_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:32970441-d949-42ae-a3de-7c3fa8496fee,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=34006,StillImage,Photograph,en
19164,http://fm-digital-assets.fieldmuseum.org/1063/762/C0663921F.jpg,http://fm-digital-assets.fieldmuseum.org/1063/762/C0663921F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0663921F_1537783587_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0663921F_1537783587_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:7ba990d2-e131-45f2-bc56-3cc7464df708,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=19164,StillImage,Photograph,en
29760,http://fm-digital-assets.fieldmuseum.org/1063/764/C0663923F.jpg,http://fm-digital-assets.fieldmuseum.org/1063/764/C0663923F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0663923F_1537896392_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0663923F_1537896392_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:8164250e-64f7-4cd7-a0c0-ee889e722ca3,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=29760,StillImage,Photograph,en
45455,http://fm-digital-assets.fieldmuseum.org/1063/763/C0663922F.jpg,http://fm-digital-assets.fieldmuseum.org/1063/763/C0663922F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0663922F_1537547593_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0663922F_1537547593_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:522b1700-7c7f-4e40-b208-d58cc1939ff4,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=45455,StillImage,Photograph,en
40469,http://fm-digital-assets.fieldmuseum.org/1063/776/C0663933F.jpg,http://fm-digital-assets.fieldmuseum.org/1063/776/C0663933F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0663933F_1537855368_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0663933F_1537855368_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:86b2298c-2394-44c7-9058-c759881554a1,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=40469,StillImage,Photograph,en
5820,http://fm-digital-assets.fieldmuseum.org/1063/766/C0663924F.jpg,http://fm-digital-assets.fieldmuseum.org/1063/766/C0663924F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0663924F_1537738440_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0663924F_1537738440_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:fb32e16b-fd65-439e-bf0b-2631fb8e3f02,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=5820,StillImage,Photograph,en
35689,http://fm-digital-assets.fieldmuseum.org/1080/843/C0638467F.jpg,http://fm-digital-assets.fieldmuseum.org/1080/843/C0638467F.jpg,http://www.pteridoportal.org/imglib/fern/F/C0638/C0638467F_1537863506_tn.jpg,http://www.pteridoportal.org/imglib/fern/F/C0638/C0638467F_1537863506_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:2e37494b-6787-49af-9923-da7effa45a96,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=35689,StillImage,Photograph,en
40518,http://fm-digital-assets.fieldmuseum.org/1080/844/C0638468F.jpg,http://fm-digital-assets.fieldmuseum.org/1080/844/C0638468F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0638468F_1537869493_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0638468F_1537869493_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:8b64dfd0-2c7c-4169-832b-d79b05e971ef,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=40518,StillImage,Photograph,en
19934,http://fm-digital-assets.fieldmuseum.org/1063/770/C0663928F.jpg,http://fm-digital-assets.fieldmuseum.org/1063/770/C0663928F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0663928F_1537826743_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0663928F_1537826743_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:0ff73b32-eb54-4676-a825-7286bd50ad8d,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=19934,StillImage,Photograph,en
30013,http://fm-digital-assets.fieldmuseum.org/1080/854/C0638478F.jpg,http://fm-digital-assets.fieldmuseum.org/1080/854/C0638478F.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0638478F_1537865745_tn.jpg,http://www.pteridoportal.org/imglib/fern/misc/201809/C0638478F_1537865745_web.jpg,,"Field Museum of Natural History Pteridophyte Collection (F)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:11c8e333-de1b-412a-bb7f-5a1d2416faad,"2018-09-21 02:09:49",image/jpeg,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=30013,StillImage,Photograph,en
