id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
40799,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,297084db-447f-476d-a4c1-c81c74376a24,C0658380F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,Caldas,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 00:00:00",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:17647a1d-02a8-45e7-a49d-ca94e258c94d,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=40799
42886,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,eb68b41b-4e06-4036-afcd-ded062c363d1,C0658394F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,"Norte de Santander",,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:54:05",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:47536f03-7d76-46b8-bc21-c860731dd41b,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=42886
44438,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,526db118-ee93-4deb-a969-9ba0cfcabca7,C0658389F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,Boyacá,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:54:03",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:2c5e9f28-c081-4eb4-8745-4d1202f2af57,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=44438
45036,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,dc181cd7-13f8-4a08-a1fc-796615024d71,C0658382F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,Magdalena,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 00:00:00",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:ba41ae5a-faea-4c2f-8f12-62e1b999e9f3,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=45036
50377,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,97e5a561-ea3d-4c67-9f57-2024d4f289e2,C0658396F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,Boyacá,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:54:06",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:e3343b9e-75fa-4fd9-b51d-fb1e592f1137,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=50377
53813,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,787cfa0b-4c9f-4826-b7e8-5b22e218a661,C0658381F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,Cundinamarca,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 00:00:00",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:f7f61b2a-57d9-48bd-90b6-5ca39c57b24b,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=53813
55291,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,ccaed7a0-6045-46ea-b8d9-c81b63b6ac8e,C0658388F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLOMBIA,,,,,,,,,,,,,,,,,,,,,,,en,,"2015-12-09 08:54:03",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:d5f62f94-8524-4b4f-8eec-9da7de295e29,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=55291
63856,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,d76d523b-f400-416e-a0f3-31f8152bee3c,C0639124F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,"A. Cascante",218,1994-03-28,1994,3,28,87,,1994-3-28,,,,,,,,,,,,,,"Costa Rica","San José",Dota,,Copey,,,,,,,,,,,,,,,,,,,en,,"2016-02-15 12:05:32",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:d8804536-0c12-4ba9-9c2b-c6948615b120,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=63856
63858,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,53c079de-7eeb-479c-a943-87c3f5fab534,C0639125F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,"J. M. Beitel",77052,1977-03-07,1977,3,7,66,,1977-3-7,,,,,,,,,,,,,,"Costa Rica","San José",,,,,,,,,,,,,,,,,,,,,,en,,"2016-02-15 12:05:53",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:9b9725ed-d2c6-47f2-a74e-8a426f936632,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=63858
63859,F,,,b7a4dd5c-99c5-43d7-84bb-f5d3596419e9,PreservedSpecimen,885a9c80-1e5e-48b8-b754-12422b0a7246,C0639126F,,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,"Lycopodium contiguum",3415,Kl.,Lycopodium,contiguum,,,,,,,,,,"W. C. Burger",7365,1970-01-19,1970,1,19,19,,1970-1-19,,,,,,,,,,,,,,"Costa Rica","San José",,,,,,,,,,,,,,,,,,,,,,en,,"2016-02-15 12:06:29",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:f74f7072-1474-4583-86f7-36c3a3f9b55b,http://www.pteridoportal.org/portal/collections/individual/index.php?occid=63859
